crs,transform,UTM_zone
EPSG:32601,"[10, 0, 737840, 0, -10, 5685710]",T01UGS
EPSG:32602,"[10, 0, 390450, 0, -10, 6090450]",T02ULG
EPSG:32603,"[10, 0, 400150, 0, -10, 6307400]",T03VVD
EPSG:32604,"[10, 0, 572190, 0, -10, 2190440]",T04QEH
EPSG:32605,"[10, 0, 200170, 0, -10, 2048940]",T05QKA
EPSG:32606,"[10, 0, 331160, 0, -10, 6373170]",T06VUJ
EPSG:32607,"[10, 0, 652350, 0, -10, 6186550]",T07UFB
EPSG:32608,"[10, 0, 300190, 0, -10, 6157790]",T08ULG
EPSG:32609,"[10, 0, 591070, 0, -10, 4419480]",T09TWE
EPSG:32610,"[10, 0, 200170, 0, -10, 4490420]",T10TBL
EPSG:32611,"[10, 0, 415120, 0, -10, 3390440]",T11RMQ
EPSG:32612,"[10, 0, 589870, 0, -10, 1095320]",T12PWR
EPSG:32613,"[10, 0, 684580, 0, -10, 4390400]",T13TFE
EPSG:32614,"[10, 0, 776890, 0, -10, 1676040]",T14PQB
EPSG:32615,"[10, 0, 341160, 0, -10, 2565760]",T15QUF
EPSG:32616,"[10, 0, 666700, 0, -10, 848760]",T16NFP
EPSG:32617,"[10, 0, 623060, 0, -10, 3590420]",T17SPS
EPSG:32618,"[10, 0, 542590, 0, -10, -9580]",T18NWF
EPSG:32619,"[10, 0, 200170, 0, -10, 99600]",T19NBB
EPSG:32620,"[10, 0, 607690, 0, -10, -9580]",T20NPF
EPSG:32621,"[10, 0, 200170, 0, -10, -9580]",T21NTA
EPSG:32622,"[10, 0, 673300, 0, -10, -9580]",T22NFF
EPSG:32623,"[10, 0, 200170, 0, -10, -9580]",T23NKA
EPSG:32624,"[10, 0, 300190, 0, -10, 6590430]",T24VUM
EPSG:32625,"[10, 0, 731150, 0, -10, 4190420]",T25SGC
EPSG:32626,"[10, 0, 605920, 0, -10, 3979800]",T26SPE
EPSG:32627,"[10, 0, 646920, 0, -10, 2189030]",T27QXB
EPSG:32628,"[10, 0, 538750, 0, -10, 4445380]",T28TEK
EPSG:32629,"[10, 0, 387180, 0, -10, 821680]",T29NLJ
EPSG:32630,"[10, 0, 200170, 0, -10, 1990400]",T30QTF
EPSG:32631,"[10, 0, 393460, 0, -10, 557400]",T31NCF
